"66";"25.7";"58.7";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"67";"25.7";"58.6";"45";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"68";"25.7";"58.5";"49";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"69";"25.8";"58.6";"59";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"70";"25.8";"58.6";"50";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"71";"25.8";"58.5";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"72";"25.8";"58.3";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"73";"25.8";"58.4";"49";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"74";"25.8";"58.5";"49";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"75";"25.8";"58.6";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"76";"25.8";"58.6";"50";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"77";"25.8";"58.7";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"78";"25.8";"58.8";"51";"24.38";"234";"234";"2017-04-11 00:00:00";NULL
"79";"25.8";"59.1";"49";"22.88";"234";"234";"2017-04-11 00:00:00";NULL
"80";"25.8";"59";"50";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"81";"25.8";"58.7";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"82";"25.8";"59.1";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"83";"25.8";"58.6";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"84";"25.8";"58.7";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"85";"25.8";"59.3";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"86";"25.8";"58.5";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"87";"25.8";"58.5";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"88";"25.8";"58.2";"51";"24.29";"234";"234";"2017-04-11 00:00:00";NULL
"89";"25.8";"58.4";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"90";"25.8";"58.5";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"91";"25.8";"58.7";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"92";"25.8";"58.5";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"93";"25.8";"58.6";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"94";"25.9";"58.5";"50";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"95";"25.9";"58";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"96";"25.9";"58.2";"46";"22.52";"234";"234";"2017-04-11 00:00:00";NULL
"97";"25.9";"58.1";"51";"24.2";"234";"234";"2017-04-11 00:00:00";NULL
"98";"25.9";"58";"51";"24.11";"234";"234";"2017-04-11 00:00:00";NULL
"99";"26";"58.3";"51";"24.11";"234";"234";"2017-04-11 00:00:00";NULL
